Tiempo de respuesta (s),Notificador (ip),Rescatista (ip)
0.036440000000000694,10.1.0.3,10.1.0.6
0.036440000000000694,10.1.0.2,10.1.0.8
0.036439999999999806,10.1.0.3,10.1.0.9
0.036430000000000184,10.1.0.3,10.1.0.8
0.036439999999999806,10.1.0.5,10.1.0.6
0.03644999999999943,10.1.0.4,10.1.0.10
0.07209000000000021,10.1.0.2,10.1.0.8
0.032079999999999664,10.1.0.2,10.1.0.8
0.036439999999999806,10.1.0.1,10.1.0.9
0.036450000000000315,10.1.0.4,10.1.0.10
0.03387000000000029,10.1.0.4,10.1.0.8
0.036440000000000694,10.1.0.5,10.1.0.9
0.036440000000000694,10.1.0.3,10.1.0.7
0.027770000000000294,10.1.0.4,10.1.0.7
0.027670000000000528,10.1.0.1,10.1.0.8
0.027789999999999537,10.1.0.4,10.1.0.10
0.027770000000000294,10.1.0.2,10.1.0.9
0.08121,10.1.0.1,10.1.0.9
0.09531,10.1.0.4,10.1.0.7
0.44921999999999995,10.1.0.2,10.1.0.6
0.059339999999999726,10.1.0.5,10.1.0.6
0.043870000000000076,10.1.0.3,10.1.0.9
0.6170800000000001,10.1.0.2,10.1.0.8
0.03644000000000025,10.1.0.3,10.1.0.7
0.04972999999999983,10.1.0.3,10.1.0.8
0.056869999999999976,10.1.0.5,10.1.0.7
0.06105999999999989,10.1.0.5,10.1.0.10
0.24517999999999995,10.1.0.2,10.1.0.9
0.03644000000000025,10.1.0.4,10.1.0.8
0.03642999999999974,10.1.0.1,10.1.0.6
0.07007999999999992,10.1.0.5,10.1.0.10
0.8101900000000004,10.1.0.2,10.1.0.7
0.03642999999999974,10.1.0.3,10.1.0.7
0.04593000000000025,10.1.0.4,10.1.0.6
0.036439999999999806,10.1.0.1,10.1.0.7
0.037029999999999674,10.1.0.5,10.1.0.8
1.66397,10.1.0.2,10.1.0.6
0.043229999999999436,10.1.0.3,10.1.0.7
0.036439999999999806,10.1.0.4,10.1.0.9
0.036439999999999806,10.1.0.4,10.1.0.8
0.03644999999999943,10.1.0.5,10.1.0.10
0.036439999999999806,10.1.0.4,10.1.0.8
0.06204999999999927,10.1.0.1,10.1.0.6
0.036439999999999806,10.1.0.3,10.1.0.8
0.036430000000000184,10.1.0.5,10.1.0.9
0.036439999999999806,10.1.0.4,10.1.0.8
0.07340999999999998,10.1.0.2,10.1.0.10
0.33084999999999987,10.1.0.2,10.1.0.8
0.13743999999999978,10.1.0.2,10.1.0.8
1.1147300000000007,10.1.0.2,10.1.0.10
0.036439999999999806,10.1.0.5,10.1.0.9
0.03915999999999986,10.1.0.5,10.1.0.10
0.02766999999999964,10.1.0.1,10.1.0.8
0.036439999999999806,10.1.0.5,10.1.0.9
0.036439999999999806,10.1.0.4,10.1.0.7
0.036430000000000184,10.1.0.1,10.1.0.7
0.02766999999999964,10.1.0.4,10.1.0.8
1.6614099999999992,10.1.0.2,10.1.0.10
0.04173999999999989,10.1.0.1,10.1.0.9
0.03643999999999892,10.1.0.3,10.1.0.7
0.03645999999999994,10.1.0.4,10.1.0.10
0.8470400000000016,10.1.0.2,10.1.0.8
0.036440000000000694,10.1.0.1,10.1.0.9
0.8767199999999997,10.1.0.3,10.1.0.8
0.07732000000000028,10.1.0.2,10.1.0.7
0.08529000000000009,10.1.0.1,10.1.0.8
0.05071000000000003,10.1.0.1,10.1.0.6
0.05489999999999995,10.1.0.2,10.1.0.9
0.04203000000000001,10.1.0.4,10.1.0.6
0.036439999999999806,10.1.0.1,10.1.0.7
0.09461999999999993,10.1.0.3,10.1.0.10
0.42174999999999985,10.1.0.3,10.1.0.8
0.036439999999999806,10.1.0.1,10.1.0.7
0.06801999999999975,10.1.0.2,10.1.0.8
0.9862299999999999,10.1.0.3,10.1.0.9
0.06121999999999961,10.1.0.5,10.1.0.6
0.03646000000000038,10.1.0.1,10.1.0.10
0.03642999999999974,10.1.0.1,10.1.0.9
0.036430000000000184,10.1.0.1,10.1.0.7
