Tiempo de respuesta,Notificador,Rescatista
0.02766999999999964,10.1.0.4,10.1.0.7
0.01900999999999975,10.1.0.3,10.1.0.7
0.023409999999999265,10.1.0.4,10.1.0.6
0.18801000000000023,10.1.0.5,10.1.0.8
0.027790000000000425,10.1.0.1,10.1.0.10
0.6204900000000002,10.1.0.5,10.1.0.9
0.0326499999999994,10.1.0.2,10.1.0.7
0.027770000000000294,10.1.0.2,10.1.0.6
0.02336000000000027,10.1.0.2,10.1.0.7
0.01901999999999937,10.1.0.3,10.1.0.10
0.02335999999999938,10.1.0.4,10.1.0.8
0.01900999999999975,10.1.0.1,10.1.0.10
0.023419999999999774,10.1.0.1,10.1.0.6
0.02336000000000027,10.1.0.4,10.1.0.8
0.019000000000000128,10.1.0.3,10.1.0.6
0.01901999999999937,10.1.0.4,10.1.0.10
0.042269999999999364,10.1.0.4,10.1.0.8
0.019010000000000637,10.1.0.4,10.1.0.10
0.01902000000000026,10.1.0.3,10.1.0.10
0.01900999999999975,10.1.0.4,10.1.0.9
0.019000000000000128,10.1.0.4,10.1.0.6
0.02801000000000009,10.1.0.2,10.1.0.8
0.019010000000000637,10.1.0.3,10.1.0.9
0.02336000000000027,10.1.0.2,10.1.0.7
0.019000000000000128,10.1.0.2,10.1.0.9
0.019010000000000637,10.1.0.3,10.1.0.9
0.019010000000000637,10.1.0.4,10.1.0.10
0.01900999999999975,10.1.0.2,10.1.0.9
0.016199999999999548,10.1.0.4,10.1.0.7
0.01900999999999975,10.1.0.2,10.1.0.10
0.01901999999999937,10.1.0.1,10.1.0.10
0.14195570000000002,10.1.0.3,10.1.0.9
0.40851200000000004,10.1.0.2,10.1.0.8
1.0925179999999999,10.1.0.5,10.1.0.6
0.517084,10.1.0.3,10.1.0.7
1.271225,10.1.0.4,10.1.0.7
0.944438,10.1.0.5,10.1.0.9
0.42368500000000003,10.1.0.3,10.1.0.8
0.5331539999999999,10.1.0.3,10.1.0.9
0.8451600000000001,10.1.0.5,10.1.0.8
