Tiempo de respuesta (s),Notificador (ip),Rescatista (ip)
0.02766999999999964,10.1.0.3,10.1.0.6
0.01900999999999975,10.1.0.2,10.1.0.7
0.019010000000000637,10.1.0.1,10.1.0.10
0.01900999999999975,10.1.0.5,10.1.0.9
0.01900999999999975,10.1.0.2,10.1.0.8
0.01900999999999975,10.1.0.2,10.1.0.10
0.03254000000000001,10.1.0.4,10.1.0.6
0.01900999999999975,10.1.0.5,10.1.0.8
0.01900999999999975,10.1.0.5,10.1.0.6
0.01902000000000026,10.1.0.2,10.1.0.10
0.01900999999999975,10.1.0.5,10.1.0.8
0.02336999999999989,10.1.0.3,10.1.0.10
0.01900999999999975,10.1.0.1,10.1.0.10
0.01900999999999975,10.1.0.1,10.1.0.9
0.01900999999999975,10.1.0.4,10.1.0.6
0.01900999999999975,10.1.0.4,10.1.0.8
0.03406999999999982,10.1.0.3,10.1.0.9
0.01900999999999975,10.1.0.4,10.1.0.7
1.239124362,10.1.0.3,10.1.0.7
2.115437,10.1.0.4,10.1.0.8
0.07414960000000001,10.1.0.1,10.1.0.9
0.06162200000000001,10.1.0.1,10.1.0.7
0.077906,10.1.0.2,10.1.0.8
1.0265579999999999,10.1.0.3,10.1.0.7
0.05169400000000002,10.1.0.2,10.1.0.6
0.036439,10.1.0.1,10.1.0.9
0.11354900000000001,10.1.0.5,10.1.0.7
0.053001999999999994,10.1.0.2,10.1.0.6
0.04220400000000002,10.1.0.5,10.1.0.8
0.04320499999999994,10.1.0.5,10.1.0.10
0.03643799999999997,10.1.0.5,10.1.0.7
0.03643799999999997,10.1.0.2,10.1.0.8
0.03643800000000008,10.1.0.1,10.1.0.8
0.063747,10.1.0.5,10.1.0.6
0.058938999999999964,10.1.0.5,10.1.0.10
0.07406899999999994,10.1.0.2,10.1.0.9
0.10165999999999986,10.1.0.2,10.1.0.6
1.05038,10.1.0.4,10.1.0.9
1.0554000000000001,10.1.0.4,10.1.0.10
0.16215000000000002,10.1.0.1,10.1.0.8
0.18872,10.1.0.2,10.1.0.7
0.17315000000000014,10.1.0.3,10.1.0.7
1.1275199999999999,10.1.0.4,10.1.0.7
0.08499999999999996,10.1.0.2,10.1.0.9
1.59056,10.1.0.4,10.1.0.9
0.03642999999999996,10.1.0.1,10.1.0.8
4.62692,10.1.0.4,10.1.0.7
0.03645000000000009,10.1.0.2,10.1.0.10
0.05936999999999992,10.1.0.1,10.1.0.8
0.03644000000000003,10.1.0.1,10.1.0.6
0.03644000000000003,10.1.0.1,10.1.0.8
0.036860000000000115,10.1.0.1,10.1.0.9
0.08664000000000005,10.1.0.1,10.1.0.6
0.04296999999999995,10.1.0.5,10.1.0.8
0.09295999999999993,10.1.0.5,10.1.0.10
0.03644000000000003,10.1.0.5,10.1.0.8
4.26542,10.1.0.4,10.1.0.10
0.036439999999999806,10.1.0.3,10.1.0.9
5.45673,10.1.0.4,10.1.0.10
0.036430000000000184,10.1.0.5,10.1.0.7
0.06391999999999998,10.1.0.3,10.1.0.8
0.09216999999999986,10.1.0.3,10.1.0.10
0.027779999999999916,10.1.0.1,10.1.0.9
0.03644000000000025,10.1.0.3,10.1.0.7
0.05505000000000004,10.1.0.3,10.1.0.10
0.03210000000000024,10.1.0.5,10.1.0.10
0.054480000000000306,10.1.0.3,10.1.0.8
4.986470000000001,10.1.0.4,10.1.0.10
0.032099999999999795,10.1.0.5,10.1.0.10
0.03642999999999974,10.1.0.2,10.1.0.6
0.02778000000000036,10.1.0.2,10.1.0.6
0.036439999999999806,10.1.0.3,10.1.0.9
0.023320000000000007,10.1.0.5,10.1.0.7
0.019010000000000193,10.1.0.3,10.1.0.7
0.08704,10.1.0.5,10.1.0.9
0.051329999999999654,10.1.0.2,10.1.0.6
0.05677999999999983,10.1.0.2,10.1.0.7
0.01900999999999975,10.1.0.1,10.1.0.8
0.027770000000000294,10.1.0.2,10.1.0.6
0.019000000000000128,10.1.0.5,10.1.0.7
0.01900999999999975,10.1.0.3,10.1.0.7
0.01900999999999975,10.1.0.5,10.1.0.6
0.01900999999999975,10.1.0.2,10.1.0.6
0.03345999999999982,10.1.0.2,10.1.0.10
0.01900999999999975,10.1.0.5,10.1.0.8
1.9167700000000005,10.1.0.4,10.1.0.10
0.03955999999999982,10.1.0.1,10.1.0.6
0.01900999999999975,10.1.0.1,10.1.0.7
1.9769100000000002,10.1.0.4,10.1.0.6
0.023410000000000153,10.1.0.1,10.1.0.9
0.019000000000000128,10.1.0.2,10.1.0.8
0.019010000000000637,10.1.0.2,10.1.0.10
0.019000000000000128,10.1.0.5,10.1.0.6
0.03622000000000014,10.1.0.2,10.1.0.8
0.01900999999999975,10.1.0.3,10.1.0.6
0.5962000000000005,10.1.0.4,10.1.0.8
0.019000000000000128,10.1.0.3,10.1.0.8
0.5423200000000001,10.1.0.4,10.1.0.9
0.8623399999999997,10.1.0.4,10.1.0.10
0.023410000000000153,10.1.0.1,10.1.0.9
0.01900999999999975,10.1.0.2,10.1.0.7
0.01900999999999975,10.1.0.3,10.1.0.9
0.01900999999999975,10.1.0.1,10.1.0.9
0.019000000000000128,10.1.0.5,10.1.0.9
0.01900999999999975,10.1.0.3,10.1.0.7
0.01901999999999937,10.1.0.3,10.1.0.10
0.1163301,10.1.0.1,10.1.0.9
1.0772788,10.1.0.4,10.1.0.7
0.12398680000000001,10.1.0.5,10.1.0.7
0.144781,10.1.0.3,10.1.0.8
2.087395,10.1.0.2,10.1.0.8
0.081008,10.1.0.1,10.1.0.6
0.9928709999999998,10.1.0.4,10.1.0.6
0.036439,10.1.0.1,10.1.0.9
0.036439,10.1.0.5,10.1.0.6
0.04702400000000001,10.1.0.5,10.1.0.7
1.7777969999999998,10.1.0.2,10.1.0.7
0.03643799999999997,10.1.0.3,10.1.0.8
0.10502099999999992,10.1.0.1,10.1.0.8
0.06598700000000002,10.1.0.5,10.1.0.7
0.08673299999999995,10.1.0.1,10.1.0.10
0.036439,10.1.0.3,10.1.0.8
0.036439,10.1.0.3,10.1.0.6
0.036455000000000015,10.1.0.3,10.1.0.10
0.05092999999999992,10.1.0.3,10.1.0.9
0.22760800000000003,10.1.0.4,10.1.0.7
1.1050699999999998,10.1.0.2,10.1.0.9
0.1068300000000002,10.1.0.1,10.1.0.7
0.13954999999999984,10.1.0.3,10.1.0.8
0.03656999999999999,10.1.0.4,10.1.0.10
0.03644000000000003,10.1.0.5,10.1.0.8
0.053220000000000045,10.1.0.5,10.1.0.6
0.03642999999999996,10.1.0.5,10.1.0.8
0.03642999999999996,10.1.0.3,10.1.0.9
0.6177299999999999,10.1.0.2,10.1.0.9
0.03969,10.1.0.5,10.1.0.6
1.71164,10.1.0.2,10.1.0.6
0.0462499999999999,10.1.0.4,10.1.0.8
0.02766999999999986,10.1.0.1,10.1.0.8
0.04247000000000001,10.1.0.4,10.1.0.9
0.07204999999999995,10.1.0.5,10.1.0.10
0.029729999999999812,10.1.0.4,10.1.0.8
1.7689499999999998,10.1.0.2,10.1.0.6
0.046660000000000146,10.1.0.1,10.1.0.7
0.036439999999999806,10.1.0.4,10.1.0.7
0.027670000000000083,10.1.0.1,10.1.0.8
0.07206000000000001,10.1.0.1,10.1.0.10
0.15859999999999985,10.1.0.4,10.1.0.10
0.08861000000000008,10.1.0.3,10.1.0.7
0.1294500000000003,10.1.0.4,10.1.0.9
0.08704,10.1.0.3,10.1.0.10
